id	posx	posy	h	type	mass	dx	dy
89	-0.333333	0.047980	0.005000	1	0.025000	0.005000	0.005000
90	-0.333333	0.053030	0.005000	1	0.025000	0.005000	0.005000
91	-0.333333	0.058081	0.005000	1	0.025000	0.005000	0.005000
92	-0.333333	0.063131	0.005000	1	0.025000	0.005000	0.005000
93	-0.333333	0.068182	0.005000	1	0.025000	0.005000	0.005000
94	-0.333333	0.073232	0.005000	1	0.025000	0.005000	0.005000
95	-0.333333	0.078283	0.005000	1	0.025000	0.005000	0.005000
96	-0.333333	0.083333	0.005000	1	0.025000	0.005000	0.005000
97	-0.338384	0.083333	0.005000	1	0.025000	0.005000	0.005000
98	-0.343434	0.083333	0.005000	1	0.025000	0.005000	0.005000
99	-0.348485	0.083333	0.005000	1	0.025000	0.005000	0.005000
100	-0.353535	0.083333	0.005000	1	0.025000	0.005000	0.005000
101	-0.358586	0.083333	0.005000	1	0.025000	0.005000	0.005000
102	-0.363636	0.083333	0.005000	1	0.025000	0.005000	0.005000
103	-0.368687	0.083333	0.005000	1	0.025000	0.005000	0.005000
104	-0.373737	0.083333	0.005000	1	0.025000	0.005000	0.005000
105	-0.378788	0.083333	0.005000	1	0.025000	0.005000	0.005000
106	-0.383838	0.083333	0.005000	1	0.025000	0.005000	0.005000
107	-0.388889	0.083333	0.005000	1	0.025000	0.005000	0.005000
108	-0.393939	0.083333	0.005000	1	0.025000	0.005000	0.005000
109	-0.398990	0.083333	0.005000	1	0.025000	0.005000	0.005000
110	-0.404040	0.083333	0.005000	1	0.025000	0.005000	0.005000
111	-0.409091	0.083333	0.005000	1	0.025000	0.005000	0.005000
112	-0.414141	0.083333	0.005000	1	0.025000	0.005000	0.005000
113	-0.419192	0.083333	0.005000	1	0.025000	0.005000	0.005000
114	-0.424242	0.083333	0.005000	1	0.025000	0.005000	0.005000
115	-0.429293	0.083333	0.005000	1	0.025000	0.005000	0.005000
116	-0.434343	0.083333	0.005000	1	0.025000	0.005000	0.005000
117	-0.439394	0.083333	0.005000	1	0.025000	0.005000	0.005000
118	-0.444444	0.083333	0.005000	1	0.025000	0.005000	0.005000
119	-0.449495	0.083333	0.005000	1	0.025000	0.005000	0.005000
120	-0.454545	0.083333	0.005000	1	0.025000	0.005000	0.005000
121	-0.459596	0.083333	0.005000	1	0.025000	0.005000	0.005000
122	-0.464646	0.083333	0.005000	1	0.025000	0.005000	0.005000
123	-0.469697	0.083333	0.005000	1	0.025000	0.005000	0.005000
