id	posx	posy	h	type
154	-0.240887	-0.072464	0.010000	1
155	-0.236495	-0.072464	0.010000	1
156	-0.232104	-0.072464	0.010000	1
157	-0.227712	-0.072464	0.010000	1
158	-0.223320	-0.072464	0.010000	1
159	-0.218928	-0.072464	0.010000	1
160	-0.214537	-0.072464	0.010000	1
161	-0.210145	-0.072464	0.010000	1
162	-0.210145	-0.068072	0.010000	1
163	-0.210145	-0.063680	0.010000	1
164	-0.210145	-0.059289	0.010000	1
165	-0.210145	-0.054897	0.010000	1
166	-0.210145	-0.050505	0.010000	1
167	-0.210145	-0.046113	0.010000	1
168	-0.210145	-0.041722	0.010000	1
169	-0.210145	-0.037330	0.010000	1
170	-0.210145	-0.032938	0.010000	1
171	-0.210145	-0.028546	0.010000	1
172	-0.210145	-0.024155	0.010000	1
173	-0.210145	-0.019763	0.010000	1
174	-0.210145	-0.015371	0.010000	1
175	-0.210145	-0.010979	0.010000	1
176	-0.210145	-0.006588	0.010000	1
177	-0.210145	-0.002196	0.010000	1
178	-0.210145	0.002196	0.010000	1
179	-0.210145	0.006588	0.010000	1
180	-0.210145	0.010979	0.010000	1
181	-0.210145	0.015371	0.010000	1
182	-0.210145	0.019763	0.010000	1
183	-0.210145	0.024155	0.010000	1
184	-0.210145	0.028546	0.010000	1
185	-0.210145	0.032938	0.010000	1
186	-0.210145	0.037330	0.010000	1
187	-0.210145	0.041722	0.010000	1
188	-0.210145	0.046113	0.010000	1
189	-0.210145	0.050505	0.010000	1
190	-0.210145	0.054897	0.010000	1
191	-0.210145	0.059289	0.010000	1
192	-0.210145	0.063680	0.010000	1
193	-0.210145	0.068072	0.010000	1
194	-0.210145	0.072464	0.010000	1
195	-0.214674	0.072464	0.010000	1
196	-0.219203	0.072464	0.010000	1
197	-0.223732	0.072464	0.010000	1
198	-0.228261	0.072464	0.010000	1
199	-0.232790	0.072464	0.010000	1
200	-0.237319	0.072464	0.010000	1
201	-0.241848	0.072464	0.010000	1
202	-0.246377	0.072464	0.010000	1
203	-0.250906	0.072464	0.010000	1
204	-0.255435	0.072464	0.010000	1
205	-0.259964	0.072464	0.010000	1
206	-0.264493	0.072464	0.010000	1
207	-0.269022	0.072464	0.010000	1
208	-0.273551	0.072464	0.010000	1
209	-0.278080	0.072464	0.010000	1
210	-0.282609	0.072464	0.010000	1
211	-0.282609	0.067966	0.010000	1
212	-0.282609	0.063468	0.010000	1
213	-0.282609	0.058971	0.010000	1
214	-0.282609	0.054473	0.010000	1
215	-0.282609	0.049975	0.010000	1
216	-0.282609	0.045477	0.010000	1
217	-0.282609	0.040980	0.010000	1
218	-0.282609	0.036482	0.010000	1
219	-0.282609	0.031984	0.010000	1
220	-0.282609	0.027486	0.010000	1
221	-0.282609	0.022989	0.010000	1
222	-0.282609	0.018491	0.010000	1
223	-0.282609	0.013993	0.010000	1
224	-0.282609	0.009495	0.010000	1
225	-0.282609	0.004998	0.010000	1
226	-0.282609	0.000500	0.010000	1
227	-0.282609	-0.003998	0.010000	1
228	-0.282609	-0.008496	0.010000	1
229	-0.282609	-0.012994	0.010000	1
230	-0.282609	-0.017491	0.010000	1
231	-0.282609	-0.021989	0.010000	1
232	-0.282609	-0.026487	0.010000	1
233	-0.282609	-0.030985	0.010000	1
234	-0.282609	-0.035482	0.010000	1
235	-0.282609	-0.039980	0.010000	1
236	-0.282609	-0.044478	0.010000	1
237	-0.282609	-0.048976	0.010000	1
238	-0.282609	-0.053473	0.010000	1
239	-0.282609	-0.057971	0.010000	1
240	-0.287138	-0.057971	0.010000	1
241	-0.291667	-0.057971	0.010000	1
242	-0.296196	-0.057971	0.010000	1
243	-0.300725	-0.057971	0.010000	1
244	-0.305254	-0.057971	0.010000	1
245	-0.309783	-0.057971	0.010000	1
246	-0.314312	-0.057971	0.010000	1
247	-0.318841	-0.057971	0.010000	1
248	-0.323370	-0.057971	0.010000	1
249	-0.327899	-0.057971	0.010000	1
250	-0.332428	-0.057971	0.010000	1
251	-0.336957	-0.057971	0.010000	1
252	-0.341486	-0.057971	0.010000	1
253	-0.346014	-0.057971	0.010000	1
254	-0.350543	-0.057971	0.010000	1
255	-0.355072	-0.057971	0.010000	1
